"name","committeeID","partyCode","totalDonationsIn","committeeCategory","categoryRange","politicalLeaning"
"OPPORTUNITY AND FREEDOM PAC","C00573634",NULL,3455000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PROGRESSIVE WOMEN SILICON VALLEY FEDERAL PAC","C00572933",NULL,3437408,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC","C00502849",NULL,3422542,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MISSISSIPPI CONSERVATIVES","C00554774",NULL,3375150,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MEGAPHONE","C00569517",NULL,3367292,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICA FOR EVERYONE","C00801803",NULL,3365000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PRIORITIES FOR IOWA POLITICAL FUND","C00568170",NULL,3333057,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICAN LIBERTY FUND","C00623421",NULL,3318624,"MEDIUM","$1,000,000 to $9,999,999",NULL
"OUR FUTURE UNITED","C00752378",NULL,3297600,"MEDIUM","$1,000,000 to $9,999,999",NULL
"LOCAL VOICES","C00531624",NULL,3293905,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PROSPERITY FOR PENNSYLVANIA INC.","C00565689",NULL,3275000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"DRAIN THE DC SWAMP PAC","C00662072",NULL,3251260,"MEDIUM","$1,000,000 to $9,999,999",NULL
"OHIO CONSERVATIVES FOR A CHANGE","C00638502",NULL,3173740,"MEDIUM","$1,000,000 to $9,999,999",NULL
"THE COLLECTIVE SUPER PAC","C00592808",NULL,3157772,"MEDIUM","$1,000,000 to $9,999,999",NULL
"OUR DESTINY PAC","C00501098",NULL,3149539,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MAINSTREAM DEMOCRATS PAC","C00804823",NULL,3125000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CONNECTICUT PATRIOTS PAC","C00804773",NULL,3117500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICAN JOBS AND GROWTH PAC","C00659219",NULL,3110554,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CARE IN ACTION PAC","C00747998",NULL,3110335,"MEDIUM","$1,000,000 to $9,999,999",NULL
"EVERY VOICE ACTION","C00566208",NULL,3103074,"MEDIUM","$1,000,000 to $9,999,999",NULL
"WORKING PEOPLE RISING","C00759597",NULL,3100283,"MEDIUM","$1,000,000 to $9,999,999",NULL
"HARDWORKING AMERICANS COMMITTEE","C00530758",NULL,3078847,"MEDIUM","$1,000,000 to $9,999,999",NULL
"BUCKEYE LEADERSHIP FUND, INC.","C00790923",NULL,3075000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CITIZENS FOR A WORKING AMERICA PAC","C00488767",NULL,3044251,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICAN ENERGY ACTION FUND","C00760082",NULL,3020000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"53 PEAKS","C00823344",NULL,3013000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PA LAWYER FUND","C00827659",NULL,3000000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FORWARD CALIFORNIA","C00733766",NULL,3000000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ALL FOR OUR COUNTRY","C00787432",NULL,3000000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"VOTE 2 REDUCE DEBT (V2RD)","C00563064",NULL,2975496,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CFG ACTION MISSOURI","C00654327",NULL,2960000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"WORKING FOR WORKING AMERICANS - NON FEDERAL ACCOUNT","C00764043",NULL,2934102,"MEDIUM","$1,000,000 to $9,999,999",NULL
"COMMITTEE FOR JUSTICE & FAIRNESS PAC","C00526442",NULL,2860014,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICANS KEEPING COUNTRY FIRST","C00770982",NULL,2856000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICANS FOR TOMORROW*S FUTURE","C00741009",NULL,2833400,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MAKE AMERICA GREAT AGAIN","C00580373",NULL,2812925,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MISSOURI RISING ACTION","C00652875",NULL,2810690,"MEDIUM","$1,000,000 to $9,999,999",NULL
"JUSTICE & PUBLIC SAFETY PAC","C00651505",NULL,2765000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PROTECT OUR KIDS AND OUR HEALTHCARE PAC","C00687384",NULL,2760283,"MEDIUM","$1,000,000 to $9,999,999",NULL
"BLACK MEN VOTE PAC","C00528950",NULL,2749423,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ASIAN AMERICAN ADVOCACY FUND PAC","C00739557",NULL,2726630,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CENTER FOR ESSENTIAL INFORMATION","C00748798",NULL,2713451,"MEDIUM","$1,000,000 to $9,999,999",NULL
"BATTLE BORN VALUES PAC","C00787978",NULL,2687900,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SOMOS VOTANTES","C00760504",NULL,2683058,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SPIRIT OF DEMOCRACY AMERICA","C00521211",NULL,2664775,"MEDIUM","$1,000,000 to $9,999,999",NULL
"GOA VICTORY FUND","C00817122",NULL,2650000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"JOBS FOR OUR FUTURE PAC","C00751032",NULL,2643600,"MEDIUM","$1,000,000 to $9,999,999",NULL
"KITCHEN TABLE CONVERSATIONS PAC","C00738831",NULL,2641661,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PEOPLE STANDING STRONG","C00713099",NULL,2639852,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CONSERVATION OHIO","C00672139",NULL,2629385,"MEDIUM","$1,000,000 to $9,999,999",NULL
"LET AMERICA WORK","C00582700",NULL,2623800,"MEDIUM","$1,000,000 to $9,999,999",NULL
"B-PAC","C00567982",NULL,2575000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"GROWTH & OPPORTUNITY PAC, INC.","C00580340",NULL,2555000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PA VALUES","C00631903",NULL,2550000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"GROW WV INC","C00564716",NULL,2540000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"BLACK VOTERS MATTER ACTION PAC","C00753277",NULL,2535000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICANS FOR SECURE ELECTIONS PAC","C00807065",NULL,2527500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CFG ACTION WISCONSIN","C00675298",NULL,2510295,"MEDIUM","$1,000,000 to $9,999,999",NULL
"TEAM PAC","C00782037",NULL,2500000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"OHIOANS UNITED ACTION FUND","C00528869",NULL,2492130,"MEDIUM","$1,000,000 to $9,999,999",NULL
"RESTORE COMMON SENSE, INC.","C00794719",NULL,2450000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"INDEPENDENT ALASKA","C00757294",NULL,2427100,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MISSOURI FIRST ACTION, INC.","C00778084",NULL,2420000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"RIGHT WOMEN PAC","C00718841",NULL,2394418,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICAN WORKING FAMILIES","C00511915",NULL,2382998,"MEDIUM","$1,000,000 to $9,999,999",NULL
"BATTLEGROUND TEXAS","C00541391",NULL,2372766,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NEW DAY INDEPENDENT MEDIA COMMITTEE INC","C00582973",NULL,2363212,"MEDIUM","$1,000,000 to $9,999,999",NULL
"TREASURE COAST JOBS COALITION","C00524793",NULL,2356516,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PENN PROGRESS, INC.","C00789495",NULL,2337500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"HARD HATS FOR AMERICA","C00623413",NULL,2334172,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ARKANSAS PATRIOTS FUND","C00790071",NULL,2325000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"INDEPENDENT VOICE FOR ILLINOIS PAC","C00572743",NULL,2323000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"UNITED FOR PROGRESS PAC","C00627141",NULL,2320394,"MEDIUM","$1,000,000 to $9,999,999",NULL
"DEFEAT BY TWEET","C00749143",NULL,2319515,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MORE JOBS, LESS GOVERNMENT","C00693838",NULL,2308200,"MEDIUM","$1,000,000 to $9,999,999",NULL
"UNITED FOR PROGRESS, INC.","C00636043",NULL,2285000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"STAND FOR FL","C00804617",NULL,2280000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"GARDEN STATE ADVANCE, INC.","C00809087",NULL,2280000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"DAGA PLP","C00687137",NULL,2274000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"VIRGINIA PROGRESS PAC","C00555516",NULL,2260000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"IOWA VALUES ACTION","C00751768",NULL,2257350,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SENATE REFORM FUND","C00681858",NULL,2256000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"UNIDOSUS ACTION PAC","C00684258",NULL,2225289,"MEDIUM","$1,000,000 to $9,999,999",NULL
"EDUCATORS FOR OHIO","C00624056",NULL,2224675,"MEDIUM","$1,000,000 to $9,999,999",NULL
"POR NUESTRAS FAMILIAS","C00687830",NULL,2223250,"MEDIUM","$1,000,000 to $9,999,999",NULL
"TEXANS FOR AMERICA*S FUTURE","C00502377",NULL,2218369,"MEDIUM","$1,000,000 to $9,999,999",NULL
"JOBS AND OPPORTUNITY","C00622340",NULL,2173178,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ACT NOW ON CLIMATE","C00697300",NULL,2150000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FIGHTING FOR NEVADA","C00651612",NULL,2140000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NEW SOUTH SUPER PAC","C00758789",NULL,2135000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CRYPTO INNOVATION","C00804732",NULL,2100000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"35TH PAC","C00635607",NULL,2075300,"MEDIUM","$1,000,000 to $9,999,999",NULL
"KELLIPAC","C00572941",NULL,2060250,"MEDIUM","$1,000,000 to $9,999,999",NULL
"STANDING WITH CONSERVATIVES","C00750505",NULL,2057400,"MEDIUM","$1,000,000 to $9,999,999",NULL
"THE 9","C00760116",NULL,2047863,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MI PLANNED PARENTHOOD VOTES","C00568931",NULL,2039255,"MEDIUM","$1,000,000 to $9,999,999",NULL
"LIBERTY PRINCIPLES PAC INC","C00514299",NULL,2035000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"THE GOOD PARTY","C00707398",NULL,2028021,"MEDIUM","$1,000,000 to $9,999,999",NULL
"JDCA PAC","C00684969",NULL,2014835,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICAN LEADERSHIP PAC","C00824292",NULL,2000000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SEALS FOR TRUTH","C00619973",NULL,2000000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ALASKA SALMONPAC","C00564047",NULL,1993243,"MEDIUM","$1,000,000 to $9,999,999",NULL
"TRUTH AND JUSTICE FUND COMPANY","C00734657",NULL,1980600,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICANS FOR PROGRESSIVE ACTION","C00545590",NULL,1972297,"MEDIUM","$1,000,000 to $9,999,999",NULL
"J STREET ACTION FUND","C00815753",NULL,1956897,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ARKANSAS HORIZON","C00547497",NULL,1955000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"OHIOANS FOR PARENTAL CHOICE","C00663237",NULL,1952500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"THE TURNOUT PROJECT","C00760801",NULL,1945109,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ELECT PRINCIPLED VETERANS FUND (EPV FUND)","C00772152",NULL,1935000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CE ACTION COMMITTEE","C00542779",NULL,1933244,"MEDIUM","$1,000,000 to $9,999,999",NULL
"THE 2016 COMMITTEE","C00569905",NULL,1930073,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CONSERVATIVE LOUISIANA","C00632679",NULL,1928900,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ONE VOTE AT A TIME","C00627158",NULL,1911179,"MEDIUM","$1,000,000 to $9,999,999",NULL
"LIBERTY CHAMPIONS","C00777334",NULL,1905000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MOMS FOR SAFE NEIGHBORHOODS","C00754168",NULL,1905000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"OHIO FREEDOM FUND","C00628842",NULL,1904000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PATRIOT PROSPERITY POLITICAL ACTION COMMITTEE","C00525386",NULL,1902800,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FFPA","C00825703",NULL,1900000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NARAL FREEDOM FUND","C00738674",NULL,1885000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"REMEMBER MISSISSIPPI","C00641423",NULL,1880000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PLANNED PARENTHOOD VOTES OHIO","C00663724",NULL,1873968,"MEDIUM","$1,000,000 to $9,999,999",NULL
"BLACK BEAR PAC, INC.","C00708644",NULL,1867000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ATU ACTION FUND","C00751495",NULL,1861467,"MEDIUM","$1,000,000 to $9,999,999",NULL
"VOTE ALASKA BEFORE PARTY","C00825091",NULL,1854000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"THE AMERICAN WORKER, INC","C00488759",NULL,1837500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"VALOR AMERICA","C00625566",NULL,1830486,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CAROLINA SENATE FUND","C00777029",NULL,1830000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"END THE GRIDLOCK","C00519595",NULL,1822643,"MEDIUM","$1,000,000 to $9,999,999",NULL
"LEADERSHIP ALLIANCE","C00571554",NULL,1795550,"MEDIUM","$1,000,000 to $9,999,999",NULL
"UNLOCKING POTENTIAL PAC","C00564534",NULL,1789643,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CREDO SUPERPAC","C00507517",NULL,1777615,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NEW LEADERSHIP PAC","C00751503",NULL,1775000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"EVERYDAY PEOPLE","C00720029",NULL,1770593,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PRINCIPLED LEADERSHIP FOR MICHIGAN","C00806208",NULL,1770000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ALASKANS STANDING TOGETHER","C00489385",NULL,1768000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"OKLAHOMA CONSERVATIVE ALLIANCE","C00812545",NULL,1758000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SAVE THE US SENATE PAC","C00763730",NULL,1755000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PRINCIPLES OVER POLITICS","C00826644",NULL,1750000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ONWARD OHIO","C00629857",NULL,1725000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NO BETTER FRIEND PAC","C00821280",NULL,1717594,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MILLIONS OF MICHIGANIANS","C00718353",NULL,1712500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICAN VALUES FIRST","C00654764",NULL,1696500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICANS UNITED FOR VALUES","C00604496",NULL,1694700,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SPECIAL OPERATIONS FOR AMERICA","C00523241",NULL,1678702,"MEDIUM","$1,000,000 to $9,999,999",NULL
"HONEST WEST VIRGINIANS","C00565499",NULL,1638500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ILLINOIS VALUES PAC","C00812420",NULL,1610000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FIGHTING FOR FLORIDA FUND","C00585190",NULL,1602447,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MICHIGAN PIPE TRADES ASSOCIATION INDEPENDENT EXPENDITURE COMMITTEE (MPAC) INDEPENDENT EXPENDITURE CO","C00555094",NULL,1600232,"MEDIUM","$1,000,000 to $9,999,999",NULL
"COUNTERPAC","C00566778",NULL,1592382,"MEDIUM","$1,000,000 to $9,999,999",NULL
"BATTLEGROUND GEORGIA","C00762872",NULL,1590000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FORWARD NOT BACK","C00636068",NULL,1575000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ALASKA FIRST","C00774596",NULL,1570000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CIVIC INNOVATION USA INC","C00550566",NULL,1565622,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SUPER PAC FOR AMERICA","C00489781",NULL,1561000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"VOTE LIBERATION","C00731109",NULL,1558939,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NEW YORK 2014","C00563171",NULL,1550000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"COURAGEOUS LEADERS PAC, INC.","C00817809",NULL,1550000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICA*S FUTURE MAJORITY FUND","C00695528",NULL,1550000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NEW HAMPSHIRE PRIORITIES","C00557561",NULL,1545000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ALASKANS FOR BRISTOL BAY ACTION","C00806075",NULL,1535779,"MEDIUM","$1,000,000 to $9,999,999",NULL
"COMMON DEFENSE ACTION FUND","C00620021",NULL,1531713,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CONSERVATIVE ACTION FUND","C00742296",NULL,1522200,"MEDIUM","$1,000,000 to $9,999,999",NULL
"THE PALMETTO PAC","C00607119",NULL,1510000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"GET GEORGIA RIGHT PAC","C00784173",NULL,1500000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CONSERVATIVES FOR A STRONGER AMERICA","C00820001",NULL,1500000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"BLACK VOTE PA","C00760678",NULL,1499999,"MEDIUM","$1,000,000 to $9,999,999",NULL
"STATE CONSERVATIVE REFORM ACTION PAC (SCRAP)","C00566372",NULL,1485008,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICA 360 COMMITTEE","C00520411",NULL,1459900,"MEDIUM","$1,000,000 to $9,999,999",NULL
"INDIANA JOBS NOW","C00603159",NULL,1456419,"MEDIUM","$1,000,000 to $9,999,999",NULL
"UNITED MINE WORKERS OF AMERICA POWER PAC","C00489203",NULL,1435580,"MEDIUM","$1,000,000 to $9,999,999",NULL
"OUTSIDER PAC","C00678920",NULL,1410000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SECURE OUR FREEDOM ACTION FUND","C00804997",NULL,1408000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"DEMOCRACY LEGACY","C00630129",NULL,1405500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES FEDERAL SPEECH PAC","C00528455",NULL,1401000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CAMPAIGN FOR AMERICAN VALUES PAC","C00489617",NULL,1400000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"HOOSIERS FOR CONSERVATIVE VALUES","C00655324",NULL,1400000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MOUNTAIN FAMILIES PAC","C00674689",NULL,1400000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FORWARD JUSTICE","C00806885",NULL,1388000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FUTURE PROGRESS","C00746628",NULL,1360000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICANS FOR COMMON SENSE","C00562413",NULL,1357000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"STANDING UP FOR CALIFORNIA*S MIDDLE CLASS","C00572610",NULL,1345000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"UNITED TOGETHER","C00636050",NULL,1340000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ORGANIZING EMPOWERMENT PAC","C00763409",NULL,1340000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND","C00687491",NULL,1337676,"MEDIUM","$1,000,000 to $9,999,999",NULL
"WE THE PEOPLE, NOT WASHINGTON","C00571356",NULL,1335597,"MEDIUM","$1,000,000 to $9,999,999",NULL
"COMMITTEE TO ELECT AN EFFECTIVE VALLEY CONGRESSMAN","C00507228",NULL,1329170,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MISSISSIPPI VICTORY FUND","C00671669",NULL,1328100,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FUND FOR FREEDOM INC","C00509646",NULL,1325000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ALTERNATIVEPAC","C00618843",NULL,1304000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"THE GOVERNING MAJORITY FUND","C00737411",NULL,1302950,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ELECTION INTEGRITY PAC","C00814624",NULL,1269773,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FUTURE IN AMERICA INC.","C00596973",NULL,1266500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"KEEP AMERICA AMERICA ACTION FUND","C00762658",NULL,1265000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SPEAK OUT FOR AMERICA PAC","C00488510",NULL,1264000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MY RIDE TO VOTE","C00626721",NULL,1253205,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SHARED PURPOSE PAC","C00701128",NULL,1252656,"MEDIUM","$1,000,000 to $9,999,999",NULL
"UNITY 2012","C00514794",NULL,1250000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"RIGHT NOW USA","C00658815",NULL,1250000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"RED AND GOLD","C00684209",NULL,1250000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ACCOUNTABLE LEADERSHIP","C00607895",NULL,1247000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"OHIOANS FOR A BETTER FUTURE","C00569319",NULL,1244183,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CALIFORNIANS FOR INNOVATION","C00566679",NULL,1227500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ADVANCING ARIZONA FORWARD","C00780684",NULL,1222500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"COMMON SENSE AMERICA ELECTION FUND","C00807420",NULL,1215305,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PROSPERITY FIRST INC","C00517466",NULL,1215000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"U.S. CONCEALED CARRY ASSOCIATION FOR SAVING LIVES","C00772913",NULL,1213402,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FAMILIES UNITED FOR FREEDOM","C00820241",NULL,1205000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"KEEP KANSAS GREAT PAC INC.","C00714394",NULL,1205000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"THE AMERICAN FOUNDATIONS COMMITTEE","C00514125",NULL,1201954,"MEDIUM","$1,000,000 to $9,999,999",NULL
"GOLDEN STATE PROGRESS","C00656629",NULL,1199998,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PROTECTING CHOICE IN CALIFORNIA, A PROJECT OF PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA","C00556860",NULL,1193968,"MEDIUM","$1,000,000 to $9,999,999",NULL
"THE 2016 DRAFT COMMITTEE","C00548420",NULL,1188760,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SUPERMAJORITY PAC","C00723098",NULL,1187985,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FIGHT BACK CALIFORNIA","C00641183",NULL,1186400,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICAN HEARTLAND PAC","C00548867",NULL,1185100,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICAN FREEDOM AND OPPORTUNITY PAC","C00687327",NULL,1181000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"LOUISIANA LEGACY PAC","C00638528",NULL,1179514,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CONCERNED TAXPAYERS OF AMERICA","C00488437",NULL,1179255,"MEDIUM","$1,000,000 to $9,999,999",NULL
"VOTAR ES PODER PAC","C00758011",NULL,1177296,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MAKE LOUISIANA GREAT AGAIN","C00629444",NULL,1176623,"MEDIUM","$1,000,000 to $9,999,999",NULL
"KENTUCKY TOMORROW, INC.","C00622415",NULL,1176000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"BLAKPAC","C00571398",NULL,1175618,"MEDIUM","$1,000,000 to $9,999,999",NULL
"UNITED WE WIN SUPER PAC","C00726208",NULL,1175000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CITIZEN PAC, INC.","C00586552",NULL,1160000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"BUCKEYES FOR A STRONG OHIO","C00777060",NULL,1155000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SPIRIT OF 1776","C00654608",NULL,1150210,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NEW YORK WINS PAC","C00603365",NULL,1150000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"COALITION FOR OHIO*S FUTURE","C00567065",NULL,1140000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"LIBERTY SC","C00761494",NULL,1135000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"KEEP FLORIDA RED PAC","C00811273",NULL,1128617,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICA SHINING","C00525618",NULL,1127272,"MEDIUM","$1,000,000 to $9,999,999",NULL
"JUSTICE UNITES US PAC","C00810606",NULL,1120581,"MEDIUM","$1,000,000 to $9,999,999",NULL
"HEALTH POLICY FORUM","C00653154",NULL,1120500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"BIG SKY VOTERS PAC","C00825372",NULL,1120000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"R4C16","C00625509",NULL,1115000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"COMMITTEE FOR STRONGER RURAL COMMUNITIES, INC.","C00713057",NULL,1110903,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICANS FOR DECENCY AND DEMOCRACY","C00756635",NULL,1104744,"MEDIUM","$1,000,000 to $9,999,999",NULL
